Prefecture,"m0-4","m5-9","m10-14","m15-19","m20-24","m25-29","m30-34","m35-39","m40-44","m45-49","m50-54","m55-59","m60-64","m65-69","m70-74","m75-79","m80-84","m85-89","m90+","f0-4","f5-9","f10-14","f15-19","f20-24","f25-29","f30-34","f35-39","f40-44","f45-49","f50-54","f55-59","f60-64","f65-69","f70-74","f75-79","f80-84","f85-89","f90+"
北海道,316,222,137,1230,1610,930,686,571,560,419,357,262,133,44,21,9,10,6,4,302,223,169,652,860,637,550,451,348,191,143,81,59,40,26,30,30,21,11
青森県,157,109,71,1011,695,345,224,228,196,148,145,102,55,20,5,3,3,3,2,107,109,69,646,452,231,197,155,142,76,47,42,24,12,7,8,7,8,3
岩手県,109,75,46,734,563,335,219,197,203,140,109,92,42,11,8,4,4,3,2,108,66,43,582,441,247,184,147,119,75,54,42,17,9,3,5,13,7,6
宮城県,288,219,131,798,1141,936,623,570,529,393,317,238,117,32,13,10,4,6,2,339,210,129,508,671,618,515,407,328,180,105,74,51,25,20,16,15,13,10
秋田県,73,57,46,691,509,221,130,113,126,110,91,81,37,15,6,3,2,2,0,64,56,26,540,383,181,120,106,74,51,36,23,21,6,6,4,11,3,3
山形県,83,53,36,632,519,225,173,165,106,98,87,59,28,10,6,3,2,2,1,101,58,28,519,484,221,149,100,78,52,46,25,13,9,6,4,10,9,1
福島県,147,107,73,764,740,516,369,323,248,186,185,109,77,29,19,7,8,3,2,127,118,60,615,646,359,239,186,153,85,79,52,43,29,16,13,18,12,10
茨城県,271,146,101,773,1195,895,610,413,363,267,176,176,130,44,22,20,12,5,3,229,153,98,525,822,637,449,330,216,144,70,89,43,23,23,24,22,13,8
栃木県,184,107,67,575,701,511,340,279,266,171,146,104,60,28,15,7,8,2,0,152,103,80,378,502,455,292,212,164,93,66,39,21,27,25,13,10,12,4
群馬県,153,86,70,464,713,508,307,264,201,153,121,76,46,20,8,7,6,2,1,128,102,61,302,541,361,235,181,136,89,49,34,29,12,8,19,16,9,9
埼玉県,687,477,279,903,2369,2104,1502,1229,1048,666,466,366,284,154,66,47,40,19,13,681,462,255,463,1588,1723,1345,997,646,361,250,194,197,105,81,58,71,59,27
千葉県,721,490,305,934,2299,2201,1540,1326,1043,702,555,413,301,117,89,40,30,17,12,648,443,309,521,1324,1630,1357,1046,700,374,274,184,170,112,78,58,64,46,31
東京都,1633,993,608,1324,4702,5371,4137,3181,2472,1660,1178,957,784,414,220,127,83,55,31,1708,949,498,770,3015,4228,3554,2550,1617,856,646,553,449,338,244,164,175,159,72
神奈川県,930,609,388,1187,3339,2952,2187,1794,1434,1002,681,509,428,216,113,70,44,33,12,922,595,337,536,1738,2415,1819,1378,964,517,347,278,254,172,122,92,95,66,40
新潟県,172,106,82,652,828,426,274,265,217,177,139,112,61,27,9,6,7,3,4,152,126,77,518,588,332,220,221,150,86,58,35,22,12,12,10,17,14,10
